step,epoch,val_loss,train_loss,train_acc
317,0,0.6189172267913818,,
317,0,,0.803050696849823,0.6140609383583069
635,1,0.5752626061439514,,
635,1,,0.6916292905807495,0.6356931924819946
953,2,0.6214281320571899,,
953,2,,0.6681236028671265,0.6496558785438538
1271,3,0.5315641760826111,,
1271,3,,0.661246120929718,0.6475909352302551
1589,4,0.5402650833129883,,
1589,4,,0.6378214955329895,0.6439527869224548
1907,5,0.512316107749939,,
1907,5,,0.6015447974205017,0.6384463906288147
2225,6,0.5362895131111145,,
2225,6,,0.5832146406173706,0.652015745639801
2543,7,0.526740312576294,,
2543,7,,0.5616514086723328,0.6422812342643738
