step,epoch,train_loss_step,train_acc_step,val_f1_macro,val_acc_epoch,val_loss,train_loss_epoch,train_acc_epoch
49,0,2.8830583095550537,0.09375,,,,,
99,0,5.205051422119141,0.09375,,,,,
149,0,3.3055381774902344,0.09375,,,,,
199,0,3.6453192234039307,0.03125,,,,,
249,0,3.2152395248413086,0.0625,,,,,
299,0,2.8829731941223145,0.0625,,,,,
317,0,,,0.2521527409553528,0.08407079428434372,3.2501771450042725,,
317,0,,,,,,3.4922738075256348,0.08672566711902618
349,1,2.3630776405334473,0.09375,,,,,
399,1,3.7384395599365234,0.0625,,,,,
449,1,4.359560012817383,0.03125,,,,,
499,1,4.047021389007568,0.09375,,,,,
549,1,3.219064474105835,0.09375,,,,,
599,1,3.3851795196533203,0.03125,,,,,
635,1,,,0.2404424548149109,0.07787610590457916,3.2485549449920654,,
635,1,,,,,,3.3358287811279297,0.08898721635341644
649,2,3.3396222591400146,0.15625,,,,,
699,2,2.4595112800598145,0.15625,,,,,
749,2,3.6499898433685303,0.0625,,,,,
799,2,3.2238211631774902,0.0625,,,,,
849,2,1.077038288116455,0.0625,,,,,
899,2,3.3076062202453613,0.09375,,,,,
949,2,2.31919002532959,0.09375,,,,,
953,2,,,0.3696894943714142,0.16017699241638184,3.2557897567749023,,
953,2,,,,,,3.34415340423584,0.08790560811758041
999,3,2.8678832054138184,0.09375,,,,,
1049,3,3.925562858581543,0.09375,,,,,
1099,3,3.024318218231201,0.125,,,,,
1149,3,1.231558084487915,0.03125,,,,,
1199,3,3.2668347358703613,0.09375,,,,,
1249,3,4.048717498779297,0.0625,,,,,
1271,3,,,0.29174062609672546,0.0796460211277008,3.220264196395874,,
1271,3,,,,,,3.3420116901397705,0.09006883203983307
1299,4,3.087779998779297,0.03125,,,,,
1349,4,4.9872565269470215,0.0,,,,,
1399,4,2.341465950012207,0.03125,,,,,
1449,4,2.805866241455078,0.09375,,,,,
1499,4,2.9516890048980713,0.0625,,,,,
1549,4,2.0515522956848145,0.15625,,,,,
1589,4,,,0.2579994201660156,0.0911504402756691,3.1960153579711914,,
1589,4,,,,,,3.277418375015259,0.09606686234474182
1599,5,5.011651992797852,0.03125,,,,,
1649,5,4.9059343338012695,0.0625,,,,,
1699,5,5.7969536781311035,0.0,,,,,
1749,5,5.6221113204956055,0.0625,,,,,
1799,5,2.737616539001465,0.1875,,,,,
1849,5,2.284396171569824,0.09375,,,,,
1899,5,3.3875222206115723,0.0625,,,,,
1907,5,,,0.27934521436691284,0.07876106351613998,3.219379186630249,,
1907,5,,,,,,3.249500274658203,0.09488692134618759
1949,6,3.424466371536255,0.0625,,,,,
1999,6,2.681608200073242,0.0625,,,,,
2049,6,4.569118499755859,0.03125,,,,,
2099,6,1.2973885536193848,0.09375,,,,,
2149,6,1.2971608638763428,0.21875,,,,,
2199,6,3.768233299255371,0.15625,,,,,
2225,6,,,0.2936856150627136,0.10176990926265717,3.199474573135376,,
2225,6,,,,,,3.2472774982452393,0.09439527988433838
2249,7,3.0549983978271484,0.09375,,,,,
2299,7,2.302910327911377,0.15625,,,,,
2349,7,1.2475295066833496,0.125,,,,,
2399,7,3.2292308807373047,0.125,,,,,
2449,7,4.755821228027344,0.0625,,,,,
2499,7,2.689100742340088,0.15625,,,,,
2543,7,,,0.29096952080726624,0.08672566711902618,3.2142114639282227,,
2543,7,,,,,,3.2420051097869873,0.09783677756786346
2549,8,3.172173500061035,0.09375,,,,,
2599,8,4.453587532043457,0.0625,,,,,
2649,8,3.9014124870300293,0.0625,,,,,
2699,8,2.419713020324707,0.25,,,,,
2749,8,1.2109804153442383,0.1875,,,,,
2799,8,3.0627493858337402,0.09375,,,,,
2849,8,4.068818092346191,0.03125,,,,,
2861,8,,,0.3579160273075104,0.13539822399616241,3.218153238296509,,
2861,8,,,,,,3.222949743270874,0.09734513610601425
2899,9,2.9617843627929688,0.15625,,,,,
2949,9,3.1947970390319824,0.03125,,,,,
2999,9,2.923393726348877,0.0625,,,,,
3049,9,2.7979793548583984,0.09375,,,,,
3099,9,3.002361297607422,0.0625,,,,,
3149,9,3.021127700805664,0.15625,,,,,
3179,9,,,0.316230446100235,0.09734513610601425,3.1854166984558105,,
3179,9,,,,,,3.2409615516662598,0.09783677756786346
3199,10,4.13757848739624,0.125,,,,,
3249,10,4.072345733642578,0.0,,,,,
3299,10,2.65371036529541,0.1875,,,,,
3349,10,2.484436511993408,0.03125,,,,,
3399,10,1.076731562614441,0.0625,,,,,
3449,10,3.075364351272583,0.09375,,,,,
3497,10,,,0.38058799505233765,0.13716813921928406,3.183396577835083,,
3497,10,,,,,,3.165255546569824,0.10570304840803146
3499,11,4.011199951171875,0.03125,,,,,
3549,11,3.500718116760254,0.0625,,,,,
3599,11,3.089895248413086,0.09375,,,,,
3649,11,2.6500067710876465,0.09375,,,,,
3699,11,3.2393641471862793,0.125,,,,,
3749,11,2.981203079223633,0.03125,,,,,
3799,11,1.3241995573043823,0.21875,,,,,
3815,11,,,0.28751420974731445,0.10353982448577881,3.181195020675659,,
3815,11,,,,,,3.1969258785247803,0.09734513610601425
3849,12,2.9595775604248047,0.03125,,,,,
3899,12,3.160522699356079,0.03125,,,,,
3949,12,2.3149917125701904,0.0625,,,,,
3999,12,2.593244791030884,0.21875,,,,,
4049,12,2.613886833190918,0.03125,,,,,
4099,12,4.058164596557617,0.09375,,,,,
4133,12,,,0.32453903555870056,0.10176990926265717,3.1766910552978516,,
4133,12,,,,,,3.2432761192321777,0.10078662633895874
4149,13,3.1967241764068604,0.15625,,,,,
4199,13,6.566526412963867,0.03125,,,,,
4249,13,2.864626407623291,0.09375,,,,,
4299,13,3.023642063140869,0.1875,,,,,
4349,13,2.568443775177002,0.15625,,,,,
4399,13,1.112746238708496,0.1875,,,,,
