train_acc_step,train_loss_step,step,epoch,val_acc_epoch,val_loss,val_f1_macro,train_acc_epoch,train_loss_epoch
0.75,1.5943140983581543,49,0,,,,,
0.78125,1.8445669412612915,99,0,,,,,
0.8125,1.7602651119232178,149,0,,,,,
0.9375,1.8221995830535889,199,0,,,,,
0.90625,1.6072888374328613,249,0,,,,,
0.8125,1.729433536529541,299,0,,,,,
,,317,0,0.8469026684761047,1.619462490081787,0.5237551927566528,,
,,317,0,,,,0.802949845790863,1.772623062133789
0.71875,1.6040704250335693,349,1,,,,,
0.78125,1.9213861227035522,399,1,,,,,
0.8125,1.988769769668579,449,1,,,,,
0.78125,1.8526060581207275,499,1,,,,,
0.8125,1.628366231918335,549,1,,,,,
0.90625,1.6393256187438965,599,1,,,,,
,,635,1,0.8681415915489197,1.5980541706085205,0.555605947971344,,
,,635,1,,,,0.8403146266937256,1.6770384311676025
0.875,1.5101685523986816,649,2,,,,,
0.90625,1.3121790885925293,699,2,,,,,
0.90625,1.806595802307129,749,2,,,,,
0.84375,1.9120275974273682,799,2,,,,,
0.8125,1.6616666316986084,849,2,,,,,
0.84375,1.6026310920715332,899,2,,,,,
0.71875,1.6316814422607422,949,2,,,,,
,,953,2,0.8707964420318604,1.5928925275802612,0.5414921045303345,,
,,953,2,,,,0.8451327681541443,1.6633384227752686
0.875,1.446000337600708,999,3,,,,,
0.78125,1.8561102151870728,1049,3,,,,,
0.9375,1.570620059967041,1099,3,,,,,
