train_acc_step,epoch,step,train_loss_step,val_acc_epoch,val_loss,val_f1_macro,train_loss_epoch,train_acc_epoch
0.75,0,49,1.644378423690796,,,,,
0.8125,0,99,1.8803038597106934,,,,,
0.75,0,149,1.877897024154663,,,,,
0.90625,0,199,1.7515339851379395,,,,,
0.875,0,249,1.6385328769683838,,,,,
0.875,0,299,1.5538928508758545,,,,,
,0,317,,0.8663716912269592,1.597017765045166,0.5354964137077332,,
,0,317,,,,,1.7729719877243042,0.8154375553131104
0.78125,1,349,1.629740834236145,,,,,
0.8125,1,399,1.843285322189331,,,,,
0.8125,1,449,1.9894750118255615,,,,,
0.75,1,499,1.8594528436660767,,,,,
0.875,1,549,1.5856683254241943,,,,,
0.90625,1,599,1.658083200454712,,,,,
,1,635,,0.8840708136558533,1.578193187713623,0.539030134677887,,
,1,635,,,,,1.6745476722717285,0.8460177183151245
0.9375,2,649,1.4911201000213623,,,,,
0.84375,2,699,1.41935396194458,,,,,
0.84375,2,749,1.882616639137268,,,,,
0.8125,2,799,1.820154070854187,,,,,
0.875,2,849,1.53663969039917,,,,,
0.8125,2,899,1.5909311771392822,,,,,
0.78125,2,949,1.6584646701812744,,,,,
,2,953,,0.8814159035682678,1.5714151859283447,0.5516193509101868,,
,2,953,,,,,1.6490005254745483,0.8582104444503784
0.96875,3,999,1.375896692276001,,,,,
0.75,3,1049,1.7814610004425049,,,,,
0.96875,3,1099,1.5632359981536865,,,,,
0.75,3,1149,1.8143525123596191,,,,,
0.875,3,1199,1.6538634300231934,,,,,
0.875,3,1249,1.6328620910644531,,,,,
,3,1271,,0.8681415915489197,1.5611401796340942,0.5750320553779602,,
,3,1271,,,,,1.6271098852157593,0.8646017909049988
0.9375,4,1299,1.5552101135253906,,,,,
0.78125,4,1349,1.7788112163543701,,,,,
0.875,4,1399,1.4627044200897217,,,,,
0.90625,4,1449,1.5443041324615479,,,,,
0.71875,4,1499,1.7247167825698853,,,,,
0.9375,4,1549,1.2741811275482178,,,,,
,4,1589,,0.8884955644607544,1.5562487840652466,0.5635966062545776,,
,4,1589,,,,,1.6193734407424927,0.8647984266281128
0.9375,5,1599,1.7021572589874268,,,,,
0.875,5,1649,1.7151215076446533,,,,,
0.71875,5,1699,1.855588674545288,,,,,
0.84375,5,1749,1.9061672687530518,,,,,
0.78125,5,1799,1.5661698579788208,,,,,
0.78125,5,1849,1.4828671216964722,,,,,
0.84375,5,1899,1.5941500663757324,,,,,
,5,1907,,0.8787610530853271,1.5460015535354614,0.5672552585601807,,
,5,1907,,,,,1.6032767295837402,0.866961658000946
0.90625,6,1949,1.6043522357940674,,,,,
0.90625,6,1999,1.4913506507873535,,,,,
0.96875,6,2049,1.8548109531402588,,,,,
0.8125,6,2099,1.6534640789031982,,,,,
0.875,6,2149,1.516265630722046,,,,,
0.8125,6,2199,1.654557228088379,,,,,
,6,2225,,0.8858407139778137,1.549455165863037,0.5375247001647949,,
,6,2225,,,,,1.5935577154159546,0.8705014586448669
0.9375,7,2249,1.4819245338439941,,,,,
