step,train_acc_step,epoch,train_loss_step,val_f1_macro,val_acc_epoch,val_loss,train_acc_epoch,train_loss_epoch
49,0.46875,0,0.23247352242469788,,,,,
99,0.5625,0,0.17621447145938873,,,,,
149,0.5,0,0.17858947813510895,,,,,
199,0.625,0,0.06704991310834885,,,,,
249,0.71875,0,0.03018409013748169,,,,,
299,0.625,0,0.02737104520201683,,,,,
317,,0,,0.27729958295822144,0.18584071099758148,0.053174518048763275,,
317,,0,,,,,0.5613569617271423,0.16218361258506775
349,0.53125,1,0.03998693823814392,,,,,
399,0.6875,1,0.08743656426668167,,,,,
449,0.59375,1,0.057552631944417953,,,,,
499,0.625,1,0.02436227723956108,,,,,
549,0.71875,1,0.06050557270646095,,,,,
599,0.5625,1,0.03414354473352432,,,,,
635,,1,,0.32713285088539124,0.2026548683643341,0.04133290797472,,
635,,1,,,,,0.6425762176513672,0.06797268241643906
649,0.59375,2,0.09698302298784256,,,,,
699,0.625,2,0.059330567717552185,,,,,
749,0.625,2,0.0596613734960556,,,,,
799,0.75,2,0.027019154280424118,,,,,
849,0.5625,2,0.06292592734098434,,,,,
899,0.6875,2,0.05439832806587219,,,,,
949,0.5625,2,0.018255991861224174,,,,,
953,,2,,0.42008793354034424,0.332743376493454,0.030334489420056343,,
953,,2,,,,,0.6870206594467163,0.045625776052474976
999,0.6875,3,0.016148626804351807,,,,,
1049,0.75,3,0.055204834789037704,,,,,
1099,0.625,3,0.10843521356582642,,,,,
1149,0.6875,3,0.038419321179389954,,,,,
1199,0.75,3,0.022246714681386948,,,,,
1249,0.75,3,0.017657702788710594,,,,,
1271,,3,,0.4281584620475769,0.3539822995662689,0.030688071623444557,,
1271,,3,,,,,0.708652913570404,0.0361209474503994
1299,0.5625,4,0.011591602116823196,,,,,
1349,0.71875,4,0.00951442215591669,,,,,
1399,0.6875,4,0.016484064981341362,,,,,
1449,0.75,4,0.0915808230638504,,,,,
1499,0.71875,4,0.026123879477381706,,,,,
1549,0.78125,4,0.05755043029785156,,,,,
1589,,4,,0.461838036775589,0.4451327323913574,0.02223673090338707,,
1589,,4,,,,,0.7297934889793396,0.030079783871769905
1599,0.84375,5,0.02789463847875595,,,,,
1649,0.65625,5,0.015231788158416748,,,,,
1699,0.65625,5,0.02890036627650261,,,,,
1749,0.78125,5,0.05145920813083649,,,,,
1799,0.625,5,0.040646422654390335,,,,,
1849,0.6875,5,0.02336849831044674,,,,,
1899,0.84375,5,0.01724868267774582,,,,,
1907,,5,,0.43813857436180115,0.4353982210159302,0.03225155547261238,,
1907,,5,,,,,0.7283185720443726,0.029252827167510986
1949,0.65625,6,0.026273105293512344,,,,,
1999,0.75,6,0.025221943855285645,,,,,
2049,0.75,6,0.01651083305478096,,,,,
2099,0.65625,6,0.010855975560843945,,,,,
2149,0.78125,6,0.07924188673496246,,,,,
2199,0.8125,6,0.021912425756454468,,,,,
2225,,6,,0.442534863948822,0.37433627247810364,0.027077043429017067,,
2225,,6,,,,,0.7430678606033325,0.0259257685393095
2249,0.875,7,0.005455212667584419,,,,,
2299,0.84375,7,0.008296344429254532,,,,,
2349,0.78125,7,0.012814576737582684,,,,,
