epoch,train_acc_step,step,train_loss_step,val_loss,val_acc_epoch,val_f1_macro,train_loss_epoch,train_acc_epoch
0,0.5625,49,0.5982180833816528,,,,,
0,0.65625,99,0.3604043126106262,,,,,
0,0.75,149,0.33329248428344727,,,,,
0,0.84375,199,0.2729911804199219,,,,,
0,0.875,249,0.13098490238189697,,,,,
0,0.9375,299,0.07971709221601486,,,,,
0,,317,,0.16922004520893097,0.8486725687980652,0.5631605386734009,,
0,,317,,,,,0.36241042613983154,0.7344149351119995
1,0.90625,349,0.11919839680194855,,,,,
1,0.8125,399,0.19568094611167908,,,,,
1,0.90625,449,0.11955341696739197,,,,,
1,0.84375,499,0.20357275009155273,,,,,
1,0.78125,549,0.2370305061340332,,,,,
1,0.9375,599,0.09100279957056046,,,,,
1,,635,,0.1590636521577835,0.8283185958862305,0.5768559575080872,,
1,,635,,,,,0.18835748732089996,0.8247787356376648
2,0.8125,649,0.23785284161567688,,,,,
2,0.8125,699,0.24078452587127686,,,,,
2,0.90625,749,0.11468032002449036,,,,,
2,0.84375,799,0.09591351449489594,,,,,
2,0.6875,849,0.23559775948524475,,,,,
2,0.8125,899,0.16355407238006592,,,,,
2,0.9375,949,0.052684661000967026,,,,,
2,,953,,0.13205307722091675,0.8433628082275391,0.5999114513397217,,
2,,953,,,,,0.15200024843215942,0.8379547595977783
3,0.9375,999,0.06185098737478256,,,,,
3,0.75,1049,0.16868945956230164,,,,,
3,0.6875,1099,0.2638486623764038,,,,,
3,0.71875,1149,0.3067619502544403,,,,,
3,0.8125,1199,0.13321086764335632,,,,,
3,0.8125,1249,0.10211832076311111,,,,,
3,,1271,,0.14871738851070404,0.8053097128868103,0.5812498927116394,,
3,,1271,,,,,0.13361987471580505,0.8506391644477844
4,0.9375,1299,0.04914024472236633,,,,,
4,0.875,1349,0.12011296302080154,,,,,
4,0.8125,1399,0.17366844415664673,,,,,
4,0.78125,1449,0.1528688669204712,,,,,
4,0.6875,1499,0.1326156109571457,,,,,
4,0.84375,1549,0.14510616660118103,,,,,
4,,1589,,0.1401861310005188,0.7840707898139954,0.56911301612854,,
4,,1589,,,,,0.12062498927116394,0.8595870137214661
5,0.84375,1599,0.1676422357559204,,,,,
5,0.84375,1649,0.11461173743009567,,,,,
5,0.8125,1699,0.18961398303508759,,,,,
5,0.90625,1749,0.11596732586622238,,,,,
5,0.9375,1799,0.06079799681901932,,,,,
5,0.8125,1849,0.13279016315937042,,,,,
5,0.875,1899,0.13101407885551453,,,,,
5,,1907,,0.13625659048557281,0.8168141841888428,0.5973483920097351,,
5,,1907,,,,,0.11166636645793915,0.8617502450942993
6,0.8125,1949,0.15038640797138214,,,,,
6,0.90625,1999,0.0825899988412857,,,,,
6,0.90625,2049,0.06979070603847504,,,,,
6,0.96875,2099,0.042058490216732025,,,,,
6,0.84375,2149,0.25371262431144714,,,,,
6,0.90625,2199,0.06013458967208862,,,,,
6,,2225,,0.12822018563747406,0.8212389349937439,0.5744945406913757,,
6,,2225,,,,,0.10882749408483505,0.8678466081619263
7,0.84375,2249,0.0780816376209259,,,,,
7,0.875,2299,0.07173995673656464,,,,,
7,0.875,2349,0.08184068650007248,,,,,
7,0.84375,2399,0.15239828824996948,,,,,
7,0.8125,2449,0.1495385766029358,,,,,
7,0.90625,2499,0.06357540190219879,,,,,
7,,2543,,0.11059185117483139,0.8575221300125122,0.5866230130195618,,
7,,2543,,,,,0.10066717118024826,0.8708947896957397
8,0.75,2549,0.21817678213119507,,,,,
8,0.90625,2599,0.06217419356107712,,,,,
8,0.84375,2649,0.09537282586097717,,,,,
8,0.84375,2699,0.08585551381111145,,,,,
8,0.8125,2749,0.23955793678760529,,,,,
8,0.90625,2799,0.06113499030470848,,,,,
8,0.9375,2849,0.059043124318122864,,,,,
8,,2861,,0.11396606266498566,0.8256637454032898,0.586859941482544,,
8,,2861,,,,,0.09685834497213364,0.8776794672012329
9,0.875,2899,0.1052999347448349,,,,,
9,0.90625,2949,0.07721208781003952,,,,,
9,0.875,2999,0.07362250983715057,,,,,
9,0.84375,3049,0.08767826855182648,,,,,
9,0.875,3099,0.09062894433736801,,,,,
9,0.9375,3149,0.049532387405633926,,,,,
9,,3179,,0.11690162122249603,0.8230088353157043,0.5909743309020996,,
9,,3179,,,,,0.08953439444303513,0.8791543841362
10,0.9375,3199,0.05637121573090553,,,,,
10,0.84375,3249,0.07774479687213898,,,,,
10,0.8125,3299,0.146897554397583,,,,,
10,0.90625,3349,0.0950419157743454,,,,,
10,0.90625,3399,0.11480920016765594,,,,,
10,0.8125,3449,0.08972606062889099,,,,,
10,,3497,,0.09245304018259048,0.8707964420318604,0.6048886775970459,,
10,,3497,,,,,0.09581094980239868,0.8755162358283997
11,0.9375,3499,0.10043126344680786,,,,,
11,0.84375,3549,0.16438429057598114,,,,,
11,0.90625,3599,0.07118500024080276,,,,,
11,0.96875,3649,0.05161626636981964,,,,,
11,0.78125,3699,0.09142868965864182,,,,,
11,0.96875,3749,0.031323857605457306,,,,,
11,0.71875,3799,0.2692277729511261,,,,,
11,,3815,,0.11620236188173294,0.8318583965301514,0.5810467600822449,,
11,,3815,,,,,0.0876559242606163,0.8763028383255005
12,0.875,3849,0.06485610455274582,,,,,
12,0.78125,3899,0.2605990171432495,,,,,
12,0.90625,3949,0.11468581855297089,,,,,
12,0.90625,3999,0.06801550835371017,,,,,
12,0.9375,4049,0.044209010899066925,,,,,
12,0.90625,4099,0.04411129653453827,,,,,
12,,4133,,0.14180973172187805,0.8017699122428894,0.5579688549041748,,
12,,4133,,,,,0.08614568412303925,0.8814159035682678
13,0.875,4149,0.1553483009338379,,,,,
13,0.96875,4199,0.03914593905210495,,,,,
