step,epoch,train_loss_step,train_acc_step,val_loss,val_f1_macro,val_acc_epoch,train_loss_epoch,train_acc_epoch
49,0,0.5983320474624634,0.5625,,,,,
99,0,0.3644883632659912,0.6875,,,,,
149,0,0.3310261368751526,0.78125,,,,,
199,0,0.26181915402412415,0.8125,,,,,
249,0,0.13047784566879272,0.90625,,,,,
299,0,0.08182729035615921,0.9375,,,,,
317,0,,,0.1637030392885208,0.564513087272644,0.8548672795295715,,
317,0,,,,,,0.36201998591423035,0.7348082661628723
349,1,0.11685173213481903,0.90625,,,,,
399,1,0.20880499482154846,0.78125,,,,,
449,1,0.12508991360664368,0.90625,,,,,
499,1,0.2096022367477417,0.84375,,,,,
549,1,0.21354258060455322,0.75,,,,,
599,1,0.09699711948633194,0.84375,,,,,
635,1,,,0.1677495837211609,0.5734055638313293,0.8318583965301514,,
635,1,,,,,,0.19081322848796844,0.8212389349937439
649,2,0.2103332281112671,0.84375,,,,,
699,2,0.21228784322738647,0.84375,,,,,
749,2,0.12048784643411636,0.875,,,,,
799,2,0.11106321960687637,0.84375,,,,,
849,2,0.27279895544052124,0.71875,,,,,
899,2,0.1572074294090271,0.78125,,,,,
949,2,0.08165919780731201,0.875,,,,,
953,2,,,0.13695597648620605,0.5989688634872437,0.8318583965301514,,
953,2,,,,,,0.1530027687549591,0.8372664451599121
999,3,0.06458413600921631,0.90625,,,,,
1049,3,0.17831602692604065,0.78125,,,,,
1099,3,0.26218968629837036,0.75,,,,,
1149,3,0.2922816276550293,0.71875,,,,,
1199,3,0.1069764718413353,0.90625,,,,,
1249,3,0.08626525849103928,0.875,,,,,
1271,3,,,0.14017021656036377,0.6113101840019226,0.8309734463691711,,
1271,3,,,,,,0.13622164726257324,0.8511307835578918
1299,4,0.06787744164466858,0.9375,,,,,
1349,4,0.12415073812007904,0.8125,,,,,
1399,4,0.15891313552856445,0.84375,,,,,
1449,4,0.21438810229301453,0.75,,,,,
1499,4,0.12965840101242065,0.75,,,,,
1549,4,0.20638978481292725,0.8125,,,,,
1589,4,,,0.12430376559495926,0.5858305096626282,0.8318583965301514,,
1589,4,,,,,,0.1202007383108139,0.858112096786499
1599,5,0.2012968510389328,0.84375,,,,,
1649,5,0.11464207619428635,0.84375,,,,,
1699,5,0.18164092302322388,0.84375,,,,,
1749,5,0.132473886013031,0.90625,,,,,
1799,5,0.06675206124782562,0.9375,,,,,
1849,5,0.13158836960792542,0.75,,,,,
1899,5,0.16638807952404022,0.8125,,,,,
1907,5,,,0.12349715828895569,0.6217048168182373,0.8460177183151245,,
1907,5,,,,,,0.11243361234664917,0.858308732509613
1949,6,0.16008952260017395,0.84375,,,,,
1999,6,0.10170447081327438,0.90625,,,,,
2049,6,0.08275648951530457,0.84375,,,,,
2099,6,0.030987629666924477,0.96875,,,,,
2149,6,0.16093847155570984,0.875,,,,,
2199,6,0.05702546611428261,0.90625,,,,,
2225,6,,,0.1388775259256363,0.562746524810791,0.8079646229743958,,
2225,6,,,,,,0.10594387352466583,0.8679449558258057
2249,7,0.08852831274271011,0.84375,,,,,
2299,7,0.04277756065130234,0.96875,,,,,
2349,7,0.05226220563054085,0.96875,,,,,
2399,7,0.16902631521224976,0.8125,,,,,
2449,7,0.14981865882873535,0.8125,,,,,
2499,7,0.07569856941699982,0.875,,,,,
2543,7,,,0.12112902104854584,0.587873101234436,0.8221238851547241,,
2543,7,,,,,,0.10222429782152176,0.8679449558258057
2549,8,0.21578317880630493,0.78125,,,,,
2599,8,0.04435434937477112,0.96875,,,,,
2649,8,0.11515580117702484,0.84375,,,,,
2699,8,0.09333710372447968,0.90625,,,,,
2749,8,0.15435607731342316,0.875,,,,,
2799,8,0.06036223843693733,0.875,,,,,
2849,8,0.059218231588602066,0.90625,,,,,
2861,8,,,0.12157291918992996,0.5811421275138855,0.808849573135376,,
2861,8,,,,,,0.09607744216918945,0.8778761029243469
2899,9,0.13140341639518738,0.8125,,,,,
2949,9,0.05886966735124588,0.90625,,,,,
2999,9,0.06361974775791168,0.875,,,,,
3049,9,0.09527452290058136,0.84375,,,,,
3099,9,0.09766851365566254,0.84375,,,,,
3149,9,0.05338282138109207,0.875,,,,,
3179,9,,,0.12195098400115967,0.5837849378585815,0.8070796728134155,,
3179,9,,,,,,0.09379692375659943,0.8754178881645203
3199,10,0.05539615824818611,0.96875,,,,,
3249,10,0.07789868861436844,0.875,,,,,
3299,10,0.1552836149930954,0.875,,,,,
3349,10,0.08447574079036713,0.9375,,,,,
3399,10,0.17586098611354828,0.84375,,,,,
3449,10,0.09824535250663757,0.8125,,,,,
3497,10,,,0.10019144415855408,0.5868217349052429,0.8707964420318604,,
3497,10,,,,,,0.09225032478570938,0.8766961693763733
3499,11,0.12101426720619202,0.875,,,,,
3549,11,0.1583397388458252,0.875,,,,,
3599,11,0.06452799588441849,0.90625,,,,,
3649,11,0.08627038449048996,0.875,,,,,
3699,11,0.13002553582191467,0.875,,,,,
3749,11,0.053499847650527954,0.96875,,,,,
3799,11,0.2680330276489258,0.6875,,,,,
3815,11,,,0.10837322473526001,0.6005021929740906,0.8442477583885193,,
3815,11,,,,,,0.09083880484104156,0.8777777552604675
3849,12,0.07484463602304459,0.75,,,,,
3899,12,0.14468252658843994,0.78125,,,,,
3949,12,0.12547746300697327,0.84375,,,,,
3999,12,0.06284499168395996,0.875,,,,,
4049,12,0.027010243386030197,0.96875,,,,,
4099,12,0.054236408323049545,0.84375,,,,,
4133,12,,,0.12347232550382614,0.5879782438278198,0.835398256778717,,
4133,12,,,,,,0.08625586330890656,0.8795477151870728
4149,13,0.14580553770065308,0.8125,,,,,
4199,13,0.03862951323390007,1.0,,,,,
4249,13,0.10043127834796906,0.84375,,,,,
4299,13,0.04447317123413086,0.9375,,,,,
4349,13,0.07970549911260605,0.90625,,,,,
4399,13,0.035991769284009933,0.90625,,,,,
4449,13,0.04704071953892708,0.90625,,,,,
4451,13,,,0.1251189410686493,0.5765512585639954,0.847787618637085,,
4451,13,,,,,,0.0831221342086792,0.8886922597885132
